,body_text,label
266,mr martin francis abidjan cote d ivoire west africa tel 225 05775748 urgent and noble proposal attn director dear i wish to extend my greeting to you and your entire family i got your contact from the ivoirian chamber of commerce i prayed over it and selected your name among other names because of its esteeming nature morever after my strong prayers and fasting god reveals to me that you are straight forward honest and god s person this is the reason i never waste time to propose you this business for our mutual benefits infact you will never regret it provided you give me your possible best cooperate hand believe me i am martin francis a cote d ivoire national and the only child of late mr and mrs francis my late father was the former financial controller of c te d ivoire telecommunication citelcom my father died due to the heat of political crisis in my country recently last years but i am motherless since before my fathers late and the death of my mother on 26 september 1993 was as a result of spiritual attack by our family member who hated her just because of my fathers wealth moreover they tried their own part as well against my father and myself but negative because god almighty is available at our side infact god is wonderful although before the death of my father in one of the private hospital here he secretly revealed to me specifically on family matters and mostly the safety of his monies us 16 500 000 00 sixteen million five hundred thousand united states dollars which he deposited in a bank here in my county abidjan c te d ivoire and used my name martin francis as the next of kin for the deposits this amount was accrued from an over invoiced contract award for the construction of an underground telephone network to replace the former in the new city yamoussoukro and other major cities also for installation of the microwave station awarded to my late father mr joseph francis in 1999 to expatiate companies in fact after the finished payment of contract workers my late father deposited this fund in a bank as the full beneficiary contractor of the said company citelcom this is the fund i want to transferred to your account as the beneficiary contractor due for payment provided you cooperate therefore i am seeking your full and urgent assistance for the telegraphic transfer of this sixteen million and five hundred thousand united states dollars us 16 500 000 us dollars to your designated account for a very good business investment in your country as due to the instruction my father gave to me before he late what i require from you are as follows 1 your private telephone and fax number for easy and strict communication 2 your bank particular for smooth and successful remittance of this monies to your nominated account 3 you have to make necessary arrangement for me to meet with you immediately the monies is been transferred in your account and confirmed by you 4 you have to secure a college for me in your country to further my education 5 you will have to be my guardian and part of the joint venture investment when i get to your country furthermore my late father had instructed me to offer 20 of the total sum to the person who is to assist me out for the transferring of this fund moreover i wish to assure you that this transaction would be concluded within the next 3 days you signify interest to assist me out i suggest that this transaction should be handled in strict confidence because i have work out fine every modalities concerning the transfer of this fund please and please kindly hasten up the arrangement as quickly as possible because my late father instructed me not to invest this monies in this country c te d ivoire that i should invest abroad of my choice for the benefit of myself and for security reasons thank very much in anticipation of your acknowledgement of this business proposal and do not hesitate to contact me immediately you receive this message with this my direct telephone number mentioned above tel 225 05775748 for us to proceed immediately please and please don t fail waiting for your urgent response now thanks very much again and god bless best regards martin francis do you yahoo une adresse yahoo fr gratuite et en fran ais yahoo mail http fr mail yahoo com ,0
2212,url http boingboing net 85535421 date not supplied a nintendo newsletter from 1987 is going for ober 700 on ebay link 1 discuss 2 thanks billy hayes 1 http cgi ebay com ws ebayisapi dll viewitem item 1566539449 rd 1 2 http www quicktopic com 16 h wuzqzdx42az ,1
152,on thu sep 05 2002 at 06 16 57pm 0500 mike burger wrote you might be better asking this on the spamassassin talk list the folks there will almost definitely have an answer for this thanks i just posted a similar message there dave this sf net email is sponsored by osdn tired of that same old cell phone get a new here for free https www inphonic com r asp r sourceforge1 refcode1 vs3390 razor users mailing list razor users lists sourceforge net https lists sourceforge net lists listinfo razor users ,1
699, anyone heard of this law before back when i was running the wsmf shoutcast server these restrictions were just being placed on netcasters most folks laughed it off now with the license fees its not laughable anymore if you pay the fee you are bound to the restrictions if you dont your running the criminal line i still run a stream up on live365 its been playing the same 10 hour block of jean shepard shows for the last year i really should change them up if i were going to do the old wsmf shoutcast now adays i would either spend lots of time going over regulations to see what i can or cannot do or i would just chuck the regs out and do what i want or i might write some apps to stay in regs i dont know one thing is for sure it defiently takes the spontaneous edge off things f murray abraham f scott fitzgerald f hillary rossen tom ,1
191, i don t understand how does sorting one folder add messages to other folders what do you use to sort sorry i wasn t clear i am transferring messages from my inbox to other folders and since i am doing it from most recent to oldest they appear in those folders in the wrong order and need re sorting rick exmh users mailing list exmh users redhat com https listman redhat com mailman listinfo exmh users ,1
1216,r a hettinga wrote begin pgp signed message hash sha1 at 11 15 am 0400 on 9 22 02 geege schuman wrote most of them seem to have ivy league educations or are ivy league dropouts suggesting to me that they weren t exactly poor to start with actually if i remember correctly from discussion of the list s composition in forbes about five or six years ago the best way to get on the forbes 400 is to have no college at all can you say bootstraps boys and girls i knew you could sure discussion in forbes rigorous research that especially when the data in their own list contradicts them i continue to look at the list and all the inherited growed entries i guess if i read it enough times my vision will clear given that an undergraduate liberal arts degree from a state school like say mine is nothing but stuff they should have taught you in a government run high school you ll probably get more of those on the forbes 400 as well as time goes on if we ever get around to having a good old fashioned government collapsing transfer payment depression an economic version of this summer s government forest conflagration caused by the same kind of innumeracy that not clear cutting enough forests did out west this summer that should motivate more than a few erst slackers out there including me to learn to actually feed themselves the next category on the forbes 400 list is someone with a terminal professional degree like an mba phd md etc from the best school possible why because as of about 1950 the best way to get into harvard for instance is to be smart not rich don t take my word for it ask their admissions office look at the admissions stats over the years for proof i at on point looked into stanford business school after learning that tuition was 20k no financial aid was available and part time work was disallowed this smart person decided that i was not willing to spend the 150 application fee non refundable during attendance at my local business school i was told repeatedly i should have gone for it to quote a prof northwestern mba it has nothing to do with the education you receive in general european and canadian business schools are better and more innovative its the connections he used the words american nobility meritocracy american style was invented at the ivy league after world war ii even stanford got the hint and of course chicago taught them all how right practically nobody who goes to a top 20 american institution of higher learning can actually afford to go there these days unless of course their parents who couldn t afford to go there themselves got terminal degrees in the last 40 years or so and their kids still had to get the grades and biased by intelligence test scores to get in invented being the right word dubya went to yale and hbs i guess practically gets you around that problem the bizarre irony is that almost all of those people with terminal degrees until they actually own something and hire people or learn to make something for a living all day on a profit and loss basis persist in the practically insane belief like life after death that economics is some kind of zero sum game that dumb people who don t work hard for it make all the money and if someone is smart works hard and is rich then they stole their wealth somehow btw none of you guys out there holding the short end of this rhetorical stick can blame me for the fact that i m using it to beat you severely all over your collective head and shoulders you were apparently too dumb to grab the right end i went to missouri and i don t have a degree in anything actually useful much less a terminal one which means i m broker than anyone on this list it s just that you of all people lots with educations far surpassing my own should just plain know better the facts speak for themselves if you just open your eyes and look there are no epicycles the universe does not orbit the earth and economics is not a zero sum game the cost of anything including ignorance and destitution is the forgone alternative in this case intelligence and effort i will however admit to being educated waay past my level of competence and by the way you discuss economics so have you apparently its interesting but in this part of the world nova scotia a recent study found that college graduates earn less than graduates of 2 year community colleges trade schools they did decline to mention that the demand for some trades is so great that some of them are demanding university degrees to get in just for the record the average salary for a university graduate including advanced degree holders here is c 21 000 14 000 us no wonder half of san francisco has set up here we have a whole whack of call centers that have arrived here in the last couple of years i think they hire some entry level it people for around 10 6 us an hour which of course fits perfectly for me my entry level job in 1986 paid 11 00 an hour the fundamental difference is that most of the jobs that require a trade are unionized in other words in this part of the world for the vast majority of people union dues are a better investment than tuition the counter argument to this is that many college graduates leave for better work elsewhere but the counter counter argument is that we are the thin edge one of several really prison labor in the us would be another of third world wages and work practices coming to north america i worked at a company that had a 14 year wage freeze the fact that they could maintain that and prosper just says volumes about the economy in this part of the world i met many people there like me who felt that was fine i can vote with my feet they didn t quite realize that just about every large employer in the area has similar or worse policies anyway eventually they started a union drive during the vote retired employees were brought in by the employer rumours were that they were paid the going rate for a vote around here a bottle of rum and somehow allowed to vote the union filed a grievance which was denied by a minister of labour who hey guess what used to be a vp at the company that s free labor markets at work the business continues to prosper as i was told when i was there it is a cash cow as long as the joa joint operating agreement with the competing paper is in place and if you think that any of those wonderful american companies out of some free enterprise belief in competing for the best talent are going to do anything about that sorry most of them received generous subsidies in return i m sure for an understanding about the labor markets here btw if we ever actually had free markets in this country including the abolition of redistributive income and death taxes all those smart people in the forbes 400 would have more money and there would be more self made people on that list in addition most of the people who inherited money on the list would have much less of it not even relatively speaking finally practically all of that new money would have come from economic efficiency and not stolen from someone else investment bubbles or not that efficiency is called progress for those of you in the people s republics of berkeley or cambridge it means more and better stuff cheaper over time a terrible petit bourgeois concept apparently not worthy of teaching by the educational elite or you d know about it by now in economic terms it s also called an increase in general welfare and no virginia i m not talking about extorting money from someone who works and giving it to someone who doesn t in order to keep them from working and they can think of some politician as santa claus come election time much as i like to accept what you say i do believe in free markets i have difficulty finding any except of course for labor markets which governments go to great lengths to protect well unless the supply is tight it was a great run with the technology industry producing most of the self made billionaires on the list but now we ve got a government sponsored monopoly and the concept of more stuff cheaper which it has always promised seems to be disappearing a particularly galling example is high speed internet access an article i read a couple of years ago that it is an area where the pricing approaches of the it industry cheaper better or you die and the telecom industry maintain your monopoly through regulation and get guaranteed price increases through the same regulators meet sadly to say the telecom industry seems to have won the whole entertainment industry riaa palladium thing seems to be another instance where actually giving value to the customer seems less important than using regulation to reduce competition and substitute products in order to produce profits for the favored few in short then economics is not a zero sum game property is not theft the rich don t get rich off the backs of the poor and redistributionist labor theory of value happy horseshit is just that horseshit happy or otherwise to believe otherwise is quite literally given the time marx wrote capital and the manifesto romantic nonsense i usually agree but when there s a republican in office i feel like they re the biggest believers in the manifesto in reverse create a reserve pool of labor reduce the rights of that proletariat you ve just created with bogus law and order policies concentrate capital in the hands of a few ideally people who can get you reelected and the economy will take care of itself oh and lie use the word compassionate a lot i guess i tend to believe that a certain amount of poverty reduction actually helps a modern capitalist state the basic economic tenet of the republic party seems to be the more homeless under each overpass the more efficient the rest of us will be and the facts are for most people in the western world are declining standards of living declining benefits disappearing social safety net greater working hours essentially since the entrance of women into the work force not blaming women in any way they have a right to work but its now 2 wage earners in each family and still declining standards of living is the reality again to quote that wonderfully liberal document i keep coming back to the cia world factbook on the us economy since 1975 practically all the gains in household income have gone to the top 20 of households owen ,1
1282, mike bostock said received from tracking2 tracking2 roving com 10 20 40 142 by ccm01 roving com postfix with esmtp id 4696633ed4 for sun 22 sep 2002 17 57 03 0400 edt x mailer roving constant contact 5 0 patch121c p121c schedenhancement 09 05 02 http www constantcontact com is worthy of attention and a rule if you go to their web site it would appear that they are in the business of email mass marketing unfortunately their mailing to me got through spamassassin interesting i haven t seen anything from these guys in about a year but looking at your hdr they re still doing it ok come up with an x mailer rule that hits your mails and we ll put it in testing j this sf net email is sponsored by thinkgeek welcome to geek heaven http thinkgeek com sf spamassassin talk mailing list spamassassin talk lists sourceforge net https lists sourceforge net lists listinfo spamassassin talk ,1
2354,from steve speer subject http english pravda ru main 2002 10 05 37771 html not sure what the rules for crossposting between the two groups is my reasoning is that it s a major newspaper reporting evidence of alien life so t http loopny com an open loop shows every saturday http extremeny com submit submit to the calendar yahoo groups sponsor sell a home with ease http us click yahoo com srpzmc ktmeaa mvfiaa 7gsolb tm to unsubscribe from this group send an email to forteana unsubscribe egroups com your use of yahoo groups is subject to http docs yahoo com info terms ,1
2322,url http scriptingnews userland com backissues 2002 09 23 when 8 30 51am date mon 23 sep 2002 15 30 51 gmt slashdot reports 1 that amazon still wants to patent the web 1 http slashdot org article pl sid 02 09 23 1156216 mode thread tid 155 ,1
1252, proving once again that aviators get all the chicks just as long as they have the wherewithal for avgas anyway i think turpin once calculated that one could do a decent amount of messing about for about 30k of boat and 12k year in living expenses what are the equivalent figures for live aboard aircraft dave how difficult would it be to find the harbormaster after mooring to the top of the empire state building ,1
